NIL line	Matched Founder	Syngenta called Founder
10NN0453	Ki3	Ki3 
10NN0455	Ki3	Ki3 
10NN0457	Mo17	Ki11
10NN0459	MS71	Ki11
10NN0461	Ki3	Ki11
10NN0463	Ki3	Ki11
10NN0465	Ki3	Ki11
10NN0467	Ki3	Ki11
10NN0469	Ki3	Ki11
10NN0471	Oh7B	Ki11
10NN0473	Ki3	Ki11
10NN0475	Ki3	Ki11
10NN0477	Ki3	Ki11
10NN0479	Ki11	Ki11
10NN0481	Mo17	Ki11
10NN0483	Mo17	Ki11
10NN0485	Ki3	Ki11
10NN0487	Ki3	Ki11
10NN0489	Ki3	Ki11
10NN0491	Ki3	Ki3 
10NN0493	Ki3	Ki3 
10NN0495	Ki3	Ki3 
10NN0497	Mo17	Ki3 
10NN0499	Mo17	Ki3 
10NN0501	Mo17	Ki3 
10NN0503	Ki3	Ki3 
10NN0505	M162W	Mo17
10NN0507	M162W	Mo17
10NN0509	M162W	Mo17
10NN0511	M162W	Mo17
10NN0513	M162W	Mo17
10NN0515	M162W	Mo17
10NN0517	M162W	Mo17
10NN0519	M162W	Mo17
10NN0523	M162W	Mo17
10NN0525	M162W	Mo17
10NN0527	M162W	Mo17
10NN0529	M162W	Mo17
10NN0531	M37W	Mo17
10NN0533	M162W	Mo17
10NN0535	M162W	Mo17
10NN0537	M162W	Mo17
10NN0539	M162W	Mo17
10NN0541	M162W	Mo17
10NN0543	M162W	Mo17
10NN0545	M162W	Mo17
10NN0547	M162W	Mo18W
10NN0549	M162W	Mo18W
10NN0551	M162W	Mo18W
10NN0553	Mo17	Mo18W
10NN0555	M162W	Mo18W
10NN0557	Tzi8	Mo18W
10NN0559	Mo17	Mo18W
10NN0561	Mo17	M162W 
10NN0563	Mo17	M162W 
10NN0565	Tzi8	M162W 
10NN0567	Mo17	M162W 
10NN0569	Oh7B	M162W 
10NN0571	Mo17	M162W 
10NN0573	Mo17	M162W 
10NN0575	Mo17	M162W 
10NN0577	Mo17	M162W 
10NN0579	Mo17	M162W 
10NN0581	Mo17	M162W 
10NN0583	Mo17	M162W 
10NN0585	Mo17	M162W 
10NN0587	Tzi8	M162W 
10NN0589	Mo17	M162W 
10NN0591	Mo17	M162W 
10NN0593	Tzi8	M162W 
10NN0595	Mo17	M162W 
10NN0597	Mo17	M162W 
10NN0599	Mo18W	M162W 
10NN0601	Mo18W	M162W 
10NN0603	Mo18W	M162W 
10NN0605	Mo18W	M162W 
10NN0607	Mo18W	M162W 
10NN0609	Mo18W	M162W 
10NN0611	Mo18W	M162W 
10NN0613	Mo18W	Mo18W
10NN0615	Mo18W	Mo18W
10NN0617	Mo18W	Mo18W
10NN0619	Mo17	Mo18W
10NN0621	Mo18W	Mo18W
10NN0623	Mo18W	Mo18W
10NN0625	Mo18W	Mo18W
10NN0627	Mo18W	Mo18W
10NN0629	Mo18W	Mo18W
10NN0631	Mo18W	Mo18W
10NN0633	Oh7B	Mo18W
10NN0635	NC350	NC350 
10NN0637	NC350	NC350 
10NN0639	NC350	NC350 
10NN0641	NC350	NC350 
10NN0643	NC350	NC350 
10NN0645	NC350	NC350 
10NN0647	NC350	NC350 
10NN0649	NC350	NC350 
10NN0651	NC350	NC350 
10NN0653	NC350	NC350 
10NN0655	NC358	NC350 
10NN0657	NC358	NC350 
10NN0659	NC350	NC350 
10NN0661	NC350	NC350 
10NN0663	NC350	NC350 
10NN0665	NC350	NC350 
10NN0667	NC350	NC350 
10NN0669	NC350	NC350 
10NN0671	NC350	NC350 
10NN0673	NC350	NC350 
10NN0675	NC350	NC350 
10NN0677	NC350	NC350 
10NN0679	NC350	NC350 
10NN0681	NC358	NC358 
10NN0683	NC358	NC358 
10NN0685	NC358	NC358 
10NN0687	NC358	NC358 
10NN0695	NC358	NC358 
10NN0699	NC358	NC358 
10NN0701	NC358	NC358 
10NN0703	Mo17	NC358 
10NN0709	NC358	NC358 
10NN0711	Mo17	NC358 
10NN0717	Oh43	NC358 
10NN0723	Oh43	NC358 
10NN0725	NC358	NC358 
10NN0727	NC358	NC358 
10NN0731	Oh7B	NC358 
10NN0735	NC358	NC358 
10NN0737	Oh43	Oh43 
10NN0739	Mo17	Oh43 
10NN0739c	Oh7B	
10NN0741	Oh43	Oh43 
10NN0743	Oh43	Oh43 
10NN0745	Oh43	Oh43 
10NN0747	Oh43	Oh43 
10NN0749	Tx303	Oh43 
10NN0751	Oh43	Oh43 
10NN0753	Oh43	Oh43 
10NN0755	Tx303	Oh43 
10NN0757	Tx303	Oh43 
10NN0757b	Tx303	
10NN0759	Oh43	Oh43 
10NN0761	Oh43	Oh43 
10NN0763	Oh43	Oh43 
10NN0765	Oh43	Oh43 
10NN0767	Oh7B	Oh43 
10NN0769	MS71	Oh43 
10NN0771	Oh43	Oh43 
10NN0773	Mo17	Oh43 
10NN0775	Mo17	Oh43 
10NN0777	Oh43	Oh43 
10NN0779	Mo17	Oh43 
10NN0781	Oh43	Oh43 
10NN0783	Tx303	Oh43 
10NN0785	Tx303	Oh43               
10NN0787	Oh43	Oh43 
10NN0789	Tx303	Tx303 
10NN0791	Tx303	Tx303 
10NN0793	Tx303	Tx303 
10NN0795	Tx303	Tx303 
10NN0797	Tx303	Tx303 
10NN0799	Mo17	Tx303 
10NN0801	Tx303	Tx303 
10NN0803	Tx303	Tx303 
10NN0805	Tx303	Tx303 
10NN0807	Tx303	Tx303 
10NN0809	Tx303	Tx303 
10NN0811	Tx303	Tx303 
10NN0813	Mo17	Tx303 
10NN0815	Tx303	Tx303 
10NN0817	Tx303	Tx303 
10NN0819	Tx303	Tx303 
10NN0821	Tx303	Tx303 
10NN0823	Tx303	Tx303 
10NN0825	Tx303	Tx303 
10NN0827	Tx303	Tx303 
10NN0829	Tx303	Tx303 
10NN0831	Tx303	Tx303 
10NN0833	Tx303	Tx303 
10NN0835	Tx303	Tx303 
10NN0837	Tx303	Tx303 
10NN0839	Tx303	Tx303 
