10NN0065:D25PAACXX:3:250184947,Mo17
10NN0065:D25PAACXX:3:250184960,Mo17
10NN0273:D25PAACXX:3:250184953,Mo17
10NN0437:D25PAACXX:3:250184955,Mo17
10NN0439:D25PAACXX:3:250184957,Mo17
10NN0451:D25PAACXX:3:250184948,Mo17
10NN0451:D25PAACXX:3:250184959,Mo17
10NN0527:D25PAACXX:3:250184956,Mo17
10NN0583:C25A5ACXX:7:250185066,Mo17
10NN0655:D25PAACXX:3:250184954,Mo17
10NN0739:D25PAACXX:3:250184949,Mo17
10NN0769:C25A5ACXX:7:250184997,Mo17
10NN0771:C25A5ACXX:7:250184998,Mo17
10NN0773:C25A5ACXX:7:250184999,Mo17
10NN0775:C25A5ACXX:7:250185000,Mo17
10NN0777:C25A5ACXX:7:250185001,Mo17
10NN0779:C25A5ACXX:7:250185002,Mo17
10NN0781:C25A5ACXX:7:250185003,Mo17
10NN0783:C25A5ACXX:7:250185004,Mo17
10NN0785:C25A5ACXX:7:250185005,Mo17
10NN0787:C25A5ACXX:7:250185006,Mo17
10NN0789:C25A5ACXX:7:250185007,Mo17
10NN0791:C25A5ACXX:7:250185008,Mo17
10NN0793:C25A5ACXX:7:250185009,Mo17
10NN0795:C25A5ACXX:7:250185010,Mo17
10NN0797:C25A5ACXX:7:250185011,Mo17
10NN0799:C25A5ACXX:7:250185012,Mo17
10NN0801:C25A5ACXX:7:250185013,Mo17
10NN0803:C25A5ACXX:7:250185014,Mo17
10NN0805:C25A5ACXX:7:250185015,Mo17
10NN0807:C25A5ACXX:7:250185016,Mo17
10NN0809:C25A5ACXX:7:250185017,Mo17
10NN0811:C25A5ACXX:7:250185018,Mo17
10NN0813:C25A5ACXX:7:250185019,Mo17
10NN0815:C25A5ACXX:7:250185020,Mo17
10NN0817:C25A5ACXX:7:250185021,Mo17
10NN0819:C25A5ACXX:7:250185022,Mo17
10NN0821:C25A5ACXX:7:250185023,Mo17
10NN0823:C25A5ACXX:7:250185024,Mo17
10NN0825:C25A5ACXX:7:250185025,Mo17
10NN0827:C25A5ACXX:7:250185026,Mo17
10NN0829:C25A5ACXX:7:250185027,Mo17
10NN0831:C25A5ACXX:7:250185028,Mo17
10NN0833:C25A5ACXX:7:250185029,Mo17
10NN0835:C25A5ACXX:7:250185030,Mo17
10NN0837:C25A5ACXX:7:250185031,Mo17
10NN0839:C25A5ACXX:7:250185032,Mo17
10NN0841:C25A5ACXX:7:250185033,Mo17
10NN0843:C25A5ACXX:7:250185034,Mo17
10NN0845:C25A5ACXX:7:250185035,Mo17
10NN0847:C25A5ACXX:7:250185036,Mo17
10NN0849:C25A5ACXX:7:250185037,Mo17
10NN0851:C25A5ACXX:7:250185038,Mo17
10NN0853:C25A5ACXX:7:250185039,Mo17
10NN0855:C25A5ACXX:7:250185040,Mo17
10NN0857:C25A5ACXX:7:250185041,Mo17
10NN0859:C25A5ACXX:7:250185042,Mo17
10NN0861:C25A5ACXX:7:250185043,Mo17
10NN0863:C25A5ACXX:7:250185044,Mo17
10NN0865:C25A5ACXX:7:250185045,Mo17
10NN0867:C25A5ACXX:7:250185046,Mo17
10NN0869:C25A5ACXX:7:250185047,Mo17
10NN0871:C25A5ACXX:7:250185048,Mo17
10NN0873:C25A5ACXX:7:250185049,Mo17
10NN0875:C25A5ACXX:7:250185050,Mo17
10NN0877:C25A5ACXX:7:250185051,Mo17
10NN0879:C25A5ACXX:7:250185052,Mo17
10NN0881:C25A5ACXX:7:250185053,Mo17
10NN0883:C25A5ACXX:7:250185054,Mo17
10NN0885:C25A5ACXX:7:250185055,Mo17
10NN0887:C25A5ACXX:7:250185056,Mo17
10NN0889:C25A5ACXX:7:250185057,Mo17
10NN0891:C25A5ACXX:7:250185058,Mo17
10NN0893:C25A5ACXX:7:250185059,Mo17
10NN0895:C25A5ACXX:7:250185060,Mo17
10NN0897:C25A5ACXX:7:250185061,Mo17
10NN0899:C25A5ACXX:7:250185062,Mo17
10NN0901:C25A5ACXX:7:250185063,Mo17
10NN0903:C25A5ACXX:7:250185064,Mo17
10NN0905:C25A5ACXX:7:250185065,Mo17
10NN521:D25PAACXX:3:250184958,Mo17
